FIPS,tabled,tdisabled,D_biep_Abled_Good_all
18089,8.14814814814815,7.96296296296296,0.6471134562107421
18091,8.8,8.6,0.464006015583307
18093,8.08333333333333,7.58333333333333,0.768029108332711
18095,8.83333333333333,9.0,0.5506766639934809
18097,7.771084337349402,7.59036144578313,0.43197768103232304
18105,8.17741935483871,8.2741935483871,0.5818997824240699
18107,8.0,8.0,-0.163677397414706
18109,9.0,10.0,0.349486252231613
18113,5.0,5.0,0.7449131586918929
18121,10.0,9.0,1.14335010243251
18127,8.0,7.888888888888888,0.790799599050557
18129,8.0,9.0,0.468409636510947
18131,7.0,7.0,0.980420327667658
18133,9.0,9.0,0.0866205563970461
18137,8.0,7.5,0.385242703647434
18139,8.0,8.0,0.27695957827760603
18141,7.55555555555556,7.111111111111112,0.569987873599957
18143,8.0,8.0,0.188561094433689
18145,5.0,5.0,1.04485938550552
18147,8.0,9.0,0.993231956571271
18151,10.0,6.0,0.477370332579061
18157,7.68965517241379,7.79310344827586,0.457385087747573
18161,6.0,5.66666666666667,0.524931353421139
18163,7.294117647058821,7.0,0.7873505443759
18165,8.0,8.0,1.29703682303306
18167,7.86666666666667,8.46666666666667,0.673422806124251
18173,5.66666666666667,6.66666666666667,0.467845809964726
18177,7.66666666666667,7.33333333333333,0.259605608167898
18179,7.0,7.0,0.614302773959188
18183,7.16666666666667,7.0,0.434506834599215
19005,6.5,5.5,0.35170701879914
19013,7.625,7.5,0.521163280129975
19015,7.0,7.66666666666667,0.370779981112009
19017,7.33333333333333,7.33333333333333,0.775339091308758
19021,7.36363636363636,7.27272727272727,0.276175188295432
19023,8.0,7.5,0.11596148874557
19027,7.0,7.5,0.19354829802771
19029,8.0,6.0,-0.0600762332893597
19033,4.0,4.0,0.825683135277478
19037,9.0,8.0,0.360864862980826
19039,5.0,5.0,-0.1347153975841
19041,10.0,10.0,0.702470805494117
19043,9.33333333333333,9.66666666666667,0.844386282461807
19045,8.0,8.0,0.24239040313230306
